1,"Approfondimenti didattici",10,NULL
2,"Architetture e infrastrutture Software",40,7
3,"Base di dati - NoSQL",40,NULL
4,"Base di dati - SQL",60,2
5,"Cloud Services e Container",72,NULL
6,"Concetti di Economia e Mondo Assicurativo",40,NULL
7,"Copyright e norme giuridiche del mondo digitale",20,6
8,"Fondamenti AGILE",14,NULL
9,"Fondamenti di basi di dati",72,1
10,"Fondamenti di programmazione",80,4
11,"Fondamenti di reti di calcolatori",30,5
12,"Fondamenti di Version Control",20,NULL
13,Inglese,90,3
14,"Laboratorio di preparazione project work",18,NULL
15,"Learning by Project",30,NULL
16,"Modello Operativo ITIL 4.0",30,NULL
17,Orientamento,30,NULL
18,"Parità fra uomini e donne e non discriminazione",8,NULL
19,"Percorso di svilupo Soft-Skills",40,NULL
20,"Programmazione - Java",80,1
21,"Programmazione - PHP",48,1
22,"Programmazione - Python",80,NULL
23,"Programmazione WEB - HTML | CSS | Javascript",70,NULL
24,"RESTful API",40,NULL
25,"Sicurezza sul lavoro",8,NULL
26,"Sistemi Operativi",50,8
27,"Testing e Debugging",40,NULL
